Food,,Pantry,Refrigerator,Freezer,,group
Baked quick breads,,4-5 days,1-2 weeks,2-3 months,,p
Bread,,5-7 days,1-2 weeks,2-3 months,,p
Bread crumbs and croutons,,6 months,,,,p
Bread rolls - unbaked,,,2-3 weeks,1 month,,p
Cereals - ready-to-eat,Unopened,1 year,,,,p
Cereals - ready-to-eat,Opened,2-3 months,,,,p
Cereals - ready-to-cook,,6 months,,,,p
Corn meal,,1 year,18 months,2 years,,p
Doughnuts,,4-5 days,,3 months,,p
Flour - all-purpose - white,,6-8 months,1 year,1-2 years,,p
Flour - whole wheat,,,6-8 months,1-2 years,,p
Pasta,,2 years,,,,p
Pies and pastries,,,3 days,4-6 months,,p
Pies and pastries - baked,,,,1-2 months,,p
Pies and pastries - cream filled,,,2-3 days,3 months,,p
Pizza,,,3-4 days,1-2 months,,f
Rice - brown,,6 months,,,,p
Rice - white,,1 year,6-7 days,6 months,,p
Tacos,,,2 weeks,1 year,,p
enchiladas,,,2 weeks,1 year,,p
burritos (frozen),,,2 weeks,1 year,,i
Waffles,,,4-5 days,1 month,,f
Biscuit mixes,,9 months,,,,p
brownie mixes,,9 months,,,,p
muffin mixes,,9 months,,,,p
Cakes - prepared,,2-4 days,,2-3 months,,p
Cake mixes,,6-9 months,,,,p
Casserole mix,,9-12 months,,,,p
Chili powder,,6 months,,,,p
Cookies - packaged,,2 months,,8-12 months,,p
Crackers - pretzels,,3 months,,,,p
Frosting - canned,,3 months,,,,p
Frosting - mix,,8 months,,,,p
Fruit cake,,,2-3 months,1 year,,f
Hot roll mix,,18 months,,,,p
Instant breakfast products,,6 months,,,,p
Pancake and piecrust mix,,6 months,,,,p
Pancake waffle batter,,,1-2 days,3 months,,p
Toaster pastries,,3 months,,,,p
Sauce and gravy mixes,,6 months,,,,p
Soup mixes,,1 year,,,,p
Catsup sauce,Unopened,1 year,,,,p
Catsup sauce,Opened,1 month,6 months,,,p
chili sauce,Unopened,1 year,,,,p
chili sauce,Opened,1 month,6 months,,,p
cocktail sauce,Unopened,1 year,,,,p
cocktail sauce,Opened,1 month,6 months,,,p
Herbs,,6 months,,1-2 years,,p
Herb/spice blends,Unopened,2 years,,1-2 years,,p
Herb/spice blends,Opened,1 year,,,,p
Mustard,,2 years,6-8 months,8-12 months,,p
Spices - ground,,6 months,,1-2 years,,p
Spices - whole,,1-2 years,,2-3 years,,p
Vanilla extract,Unopened,2 years,,,,p
Vanilla extract,Opened,1 year,,,,p
Other extracts,,1 year,,,,p
Bacon bits,,4 months,,,,f
Baking powder,,18 months,,,,p
Baking soda,,2 years,,,,p
Bouillon products,,1 year,,,,f
Carbonated soft drinks (12 oz. cans),,6-9 months,,,,f
Carbonated soft drinks - diet (12 oz. cans),,3-4 months,,,,f
Chocolate - premelted,,1 year,,,,p
Chocolate syrup,,2 years,6 months,,,p
Chocolate - semisweet,,2 years,,,,p
Chocolate - unsweetened,,18 months,,,,p
Cocoa mixes,,8 months,,,,p
Coconut - shredded,Unopened,1 year,,,,p
Coconut - shredded,Opened,6 months,8 months,1 year,,p
Coffee cans,Unopened,2 years,,,,p
Coffee cans,Opened,2 weeks,2 months,6 months,,p
Coffee - instant,Unopened,6 months,,,,p
Coffee - instant,Opened,2 weeks,,,,p
Coffee - vacuum-packed,,1 year,,,,p
Coffee lighteners (dry),Unopened,9 months,,1 year,,p
Coffee lighteners (dry),Opened,6 months,,,,p
Cornstarch,,18 months,,2 years,,p
Gelatin,,18 months,,,,p
syrup,,1 year,6-8 months,,,p
jellies,,1 year,6-8 months,,,f
jams,,1 year,6-8 months,,,p
Honey,,1 year,6-8 months,,,p
Marshmallows,,2-3 months,,,,p
Marshmallow cream,,3-4 months,,,,p
Mayonnaise,Unopened,2-3 months,12 months,,,f
Mayonnaise,Opened,,2 months,,,f
Molasses,,2 years,,,,f
Nuts - shelled,,4 months,6 months,,,p
Nuts - unshelled,,6 months,,,,p
Nuts - salted,,,,6-8 months,,p
Nuts - unsalted,,,,9-12 months,,p
Oil - salad,,2 months,3 months,,,p
Parmesan grated cheese,Unopened,10 months,,,,f
Parmesan grated cheese,Opened,2 months,,,,f
Pasteurized process cheese spread,,3 months,3-4 weeks,4 months,,f
Peanut butter,Unopened,6-9 months,4-6 months,,,p
Peanut butter,Opened,2-3 months,,,,p
Popcorn,,1-2 years,2 years,2-3 years,,p
Pectin,,1 year,,,,p
Salad dressings - bottled,,1 year,3 months,,,p
Soft drinks,,3 months,,,,p
Artificial sweetener,,2 years,,,,p
Sugar - brown,,4 months,,,,p
Sugar - confectioners,,18 months,,,,p
Sugar - granulated,,2 years,,,,p
Tea bags,,18 months,,,,p
Tea - instant,,2 years,,,,p
Vegetable oils,Unopened,6 months,,,,p
Vegetable oils,Opened,1-3 months,,,,p
Vegetable shortening,,3 months,6-9 months,,,p
Vinegar,Unopened,2 years,,,,p
Vinegar,Opened,1 year,,,,p
Water - bottled,,1-2 years,,,,p
Whipped topping (dry),,1 year,,,,f
Yeast - dry,,Pkg. exp. date,,,,p
Asparagus,,,2-3 days,8 months,,f
Beets,,,2 weeks,,,p
Broccoli,,,3-5 days,,,f
Brussels sprouts,,,3-5 days,,,f
Cabbage,,,1 week,,,f
Carrots,,,2 weeks,,,f
Cauliflower,,,1 week,,,f
Celery,,,1 week,,,f
Corn (husks),,,1-2 days,8 months,,p
Cucumbers,,,1 week,,,f
Eggplant,,,1 week,,,f
Green beans,,,1-2 days,8 months,,f
Green peas,,,3-5 days,8 months,,f
Lettuce,,,1 week,,,f
Lima beans,,,3-5 days,8 months,,p
Mushrooms,,,2 days,,,f
Onions,,1 week,3-5 days,,,p
Onion rings (precooked),,,,1 year,,p
Peppers,,,1 week,,,p
Pickles - canned,,1 year,1 month,,,p
Frozen potatoes,,,,8 month,,i
Sweet potatoes,,2-3 weeks,,,,p
White potatoes,,2-3 months,,,,p
Potato chips,,1 month,,,,p
Radishes,,,2 weeks,,,p
Rhubarb,,,3-5 days,,,f
Rutabagas,,1 week,,,,p
Snap beans,,,1 week,,,p
Spinach,,,5-7 days,8 months,,p
Squash - Summer,,,3-5 days,,,p
Squash - Winter,,1 week,,,,p
Tomatoes,,,1 week,,,f
Turnips,,,2 weeks,,,p
Commercial baby food - jars,,1-2 years,2-3 days,,,p
Canned vegetables,,1 year,3-5 days,,,p
Canned vegetables - pickled,,1 year,1-2 months,,,p
Dried vegetables,,6 months,,,,p
Frozen vegetables,,,,8 months,,i
Vegetable soup,,,3-4 days,3 months,,p
Apples,,Until ripe,1 month,,,f
Apricots,,Until ripe,5 days,,,f
Avocados,,Until ripe,5 days,,,p
Bananas,,Until ripe,5 days (fully ripe),,,p
Berries,,Until ripe,3 days,1 year,,f
