Food,,Pantry,Refrigerator,Freezer,,group
Baked quick breads,,4-5 days,1-2 weeks,2-3 months,,1800
Bread,,5-7 days,1-2 weeks,2-3 months,,1800
Bread crumbs and croutons,,6 months,,,,1800
Bread rolls - unbaked,,,2-3 weeks,1 month,,1800
Cereals - ready-to-eat,Unopened,1 year,,,,800
Cereals - ready-to-eat,Opened,2-3 months,,,,800
Cereals - ready-to-cook,,6 months,,,,800
Corn meal,,1 year,18 months,2 years,,0
Doughnuts,,4-5 days,,3 months,,0
Flour - all-purpose - white,,6-8 months,1 year,1-2 years,,0
Flour - whole wheat,,,6-8 months,1-2 years,,0
Pasta,,2 years,,,,0
Pies and pastries,,,3 days,4-6 months,,0
Pies and pastries - baked,,,,1-2 months,,0
Pies and pastries - cream filled,,,2-3 days,3 months,,0
Pizza,,,3-4 days,1-2 months,,0
Rice - brown,,6 months,,,,0
Rice - white,,1 year,6-7 days,6 months,,0
Tacos,,,2 weeks,1 year,,0
enchiladas,,,2 weeks,1 year,,0
burritos (frozen),,,2 weeks,1 year,,0
Waffles,,,4-5 days,1 month,,0
Biscuit mixes,,9 months,,,,0
brownie mixes,,9 months,,,,0
muffin mixes,,9 months,,,,0
Cakes - prepared,,2-4 days,,2-3 months,,0
Cake mixes,,6-9 months,,,,0
Casserole mix,,9-12 months,,,,0
Chili powder,,6 months,,,,0
Cookies - packaged,,2 months,,8-12 months,,0
Crackers - pretzels,,3 months,,,,0
Frosting - canned,,3 months,,,,0
Frosting - mix,,8 months,,,,0
Fruit cake,,,2-3 months,1 year,,0
Hot roll mix,,18 months,,,,0
Instant breakfast products,,6 months,,,,0
Pancake and piecrust mix,,6 months,,,,0
Pancake waffle batter,,,1-2 days,3 months,,0
Toaster pastries,,3 months,,,,0
Sauce and gravy mixes,,6 months,,,,0
Soup mixes,,1 year,,,,0
Catsup sauce,Unopened,1 year,,,,0
Catsup sauce,Opened,1 month,6 months,,,0
chili sauce,Unopened,1 year,,,,0
chili sauce,Opened,1 month,6 months,,,0
cocktail sauce,Unopened,1 year,,,,0
cocktail sauce,Opened,1 month,6 months,,,0
Herbs,,6 months,,1-2 years,,0
Herb/spice blends,Unopened,2 years,,1-2 years,,0
Herb/spice blends,Opened,1 year,,,,0
Mustard,,2 years,6-8 months,8-12 months,,0
Spices - ground,,6 months,,1-2 years,,0
Spices - whole,,1-2 years,,2-3 years,,0
Vanilla extract,Unopened,2 years,,,,0
Vanilla extract,Opened,1 year,,,,0
Other extracts,,1 year,,,,0
Bacon bits,,4 months,,,,0
Baking powder,,18 months,,,,0
Baking soda,,2 years,,,,0
Bouillon products,,1 year,,,,0
Carbonated soft drinks (12 oz. cans),,6-9 months,,,,0
Carbonated soft drinks - diet (12 oz. cans),,3-4 months,,,,0
Chocolate - premelted,,1 year,,,,0
Chocolate syrup,,2 years,6 months,,,0
Chocolate - semisweet,,2 years,,,,0
Chocolate - unsweetened,,18 months,,,,0
Cocoa mixes,,8 months,,,,0
Coconut - shredded,Unopened,1 year,,,,0
Coconut - shredded,Opened,6 months,8 months,1 year,,0
Coffee cans,Unopened,2 years,,,,0
Coffee cans,Opened,2 weeks,2 months,6 months,,0
Coffee - instant,Unopened,6 months,,,,0
Coffee - instant,Opened,2 weeks,,,,0
Coffee - vacuum-packed,,1 year,,,,0
Coffee lighteners (dry),Unopened,9 months,,1 year,,0
Coffee lighteners (dry),Opened,6 months,,,,0
Cornstarch,,18 months,,2 years,,0
Gelatin,,18 months,,,,0
syrup,,1 year,6-8 months,,,0
jellies,,1 year,6-8 months,,,0
jams,,1 year,6-8 months,,,0
Honey,,1 year,6-8 months,,,0
Marshmallows,,2-3 months,,,,0
Marshmallow cream,,3-4 months,,,,0
Mayonnaise,Unopened,2-3 months,12 months,,,0
Mayonnaise,Opened,,2 months,,,0
Molasses,,2 years,,,,0
Nuts - shelled,,4 months,6 months,,,0
Nuts - unshelled,,6 months,,,,0
Nuts - salted,,,,6-8 months,,0
Nuts - unsalted,,,,9-12 months,,0
Oil - salad,,2 months,3 months,,,0
Parmesan grated cheese,Unopened,10 months,,,,0
Parmesan grated cheese,Opened,2 months,,,,0
Pasteurized process cheese spread,,3 months,3-4 weeks,4 months,,0
Peanut butter,Unopened,6-9 months,4-6 months,,,0
Peanut butter,Opened,2-3 months,,,,0
Popcorn,,1-2 years,2 years,2-3 years,,0
Pectin,,1 year,,,,0
Salad dressings - bottled,,1 year,3 months,,,0
Soft drinks,,3 months,,,,0
Artificial sweetener,,2 years,,,,0
Sugar - brown,,4 months,,,,0
Sugar - confectioners,,18 months,,,,0
Sugar - granulated,,2 years,,,,0
Tea bags,,18 months,,,,0
Tea - instant,,2 years,,,,0
Vegetable oils,Unopened,6 months,,,,0
Vegetable oils,Opened,1-3 months,,,,0
Vegetable shortening,,3 months,6-9 months,,,0
Vinegar,Unopened,2 years,,,,0
Vinegar,Opened,1 year,,,,0
Water - bottled,,1-2 years,,,,0
Whipped topping (dry),,1 year,,,,0
Yeast - dry,,Pkg. exp. date,,,,0
Asparagus,,,2-3 days,8 months,,0
Beets,,,2 weeks,,,0
Broccoli,,,3-5 days,,,0
Brussels sprouts,,,3-5 days,,,0
Cabbage,,,1 week,,,0
Carrots,,,2 weeks,,,0
Cauliflower,,,1 week,,,0
Celery,,,1 week,,,0
Corn (husks),,,1-2 days,8 months,,0
Cucumbers,,,1 week,,,0
Eggplant,,,1 week,,,0
Green beans,,,1-2 days,8 months,,0
Green peas,,,3-5 days,8 months,,0
Lettuce,,,1 week,,,0
Lima beans,,,3-5 days,8 months,,0
Mushrooms,,,2 days,,,0
Onions,,1 week,3-5 days,,,0
Onion rings (precooked),,,,1 year,,0
Peppers,,,1 week,,,0
Pickles - canned,,1 year,1 month,,,0
Frozen potatoes,,,,8 month,,0
Sweet potatoes,,2-3 weeks,,,,0
White potatoes,,2-3 months,,,,0
Potato chips,,1 month,,,,0
Radishes,,,2 weeks,,,0
Rhubarb,,,3-5 days,,,0
Rutabagas,,1 week,,,,0
Snap beans,,,1 week,,,0
Spinach,,,5-7 days,8 months,,0
Squash - Summer,,,3-5 days,,,0
Squash - Winter,,1 week,,,,0
Tomatoes,,,1 week,,,0
Turnips,,,2 weeks,,,0
Commercial baby food - jars,,1-2 years,2-3 days,,,0
Canned vegetables,,1 year,3-5 days,,,0
Canned vegetables - pickled,,1 year,1-2 months,,,0
Dried vegetables,,6 months,,,,0
Frozen vegetables,,,,8 months,,0
Vegetable soup,,,3-4 days,3 months,,0
Apples,,Until ripe,1 month,,,0
Apricots,,Until ripe,5 days,,,0
Avocados,,Until ripe,5 days,,,0
Bananas,,Until ripe,5 days (fully ripe),,,0
Berries,,Until ripe,3 days,1 year,,0
Canned fruit,,1 year,2-4 days,,,0
Canned fruit juices,,1 year,3-5 days,,,0
Cherries,,Until ripe,3 days,,,0
Citrus fruit (e.g. orange/lime/lemon),,Until ripe,2 weeks,,,0
Dried fruit,,6 months,2-4 days,,,0
Frozen fruit,,,,1 year,,0
